epoch,timestamp,method,vm_id,pm_id
1,1378604100,Standard_HO,VM_001,17
1,1378604100,Standard_HO,VM_003,17
1,1378604100,Standard_HO,VM_011,17
1,1378604100,Standard_HO,VM_012,17
1,1378604100,Standard_HO,VM_013,17
1,1378604100,WA-AHO,VM_001,17
1,1378604100,WA-AHO,VM_003,17
1,1378604100,WA-AHO,VM_011,17
1,1378604100,WA-AHO,VM_012,17
1,1378604100,WA-AHO,VM_013,17
1,1378604100,PABFD,VM_012,10
1,1378604100,PABFD,VM_011,11
1,1378604100,PABFD,VM_003,12
1,1378604100,PABFD,VM_001,11
1,1378604100,PABFD,VM_013,12
2,1378604400,Standard_HO,VM_001,18
2,1378604400,Standard_HO,VM_003,18
2,1378604400,Standard_HO,VM_011,18
2,1378604400,Standard_HO,VM_012,18
2,1378604400,Standard_HO,VM_013,18
2,1378604400,WA-AHO,VM_001,19
2,1378604400,WA-AHO,VM_003,19
2,1378604400,WA-AHO,VM_011,19
2,1378604400,WA-AHO,VM_012,19
2,1378604400,WA-AHO,VM_013,19
2,1378604400,PABFD,VM_012,10
2,1378604400,PABFD,VM_011,11
2,1378604400,PABFD,VM_003,12
2,1378604400,PABFD,VM_001,11
2,1378604400,PABFD,VM_013,12
3,1378604700,Standard_HO,VM_001,19
3,1378604700,Standard_HO,VM_003,19
3,1378604700,Standard_HO,VM_011,19
3,1378604700,Standard_HO,VM_012,19
3,1378604700,Standard_HO,VM_013,19
3,1378604700,WA-AHO,VM_001,19
3,1378604700,WA-AHO,VM_003,19
3,1378604700,WA-AHO,VM_011,19
3,1378604700,WA-AHO,VM_012,19
3,1378604700,WA-AHO,VM_013,19
3,1378604700,PABFD,VM_012,10
3,1378604700,PABFD,VM_011,11
3,1378604700,PABFD,VM_003,12
3,1378604700,PABFD,VM_001,11
3,1378604700,PABFD,VM_013,12
4,1378605000,Standard_HO,VM_001,18
4,1378605000,Standard_HO,VM_003,18
4,1378605000,Standard_HO,VM_011,18
4,1378605000,Standard_HO,VM_012,18
4,1378605000,Standard_HO,VM_013,18
4,1378605000,WA-AHO,VM_001,18
4,1378605000,WA-AHO,VM_003,18
4,1378605000,WA-AHO,VM_011,18
4,1378605000,WA-AHO,VM_012,18
4,1378605000,WA-AHO,VM_013,18
4,1378605000,PABFD,VM_012,10
4,1378605000,PABFD,VM_011,11
4,1378605000,PABFD,VM_003,12
4,1378605000,PABFD,VM_001,11
4,1378605000,PABFD,VM_013,12
5,1378605300,Standard_HO,VM_001,18
5,1378605300,Standard_HO,VM_003,18
5,1378605300,Standard_HO,VM_011,18
5,1378605300,Standard_HO,VM_012,18
5,1378605300,Standard_HO,VM_013,18
5,1378605300,WA-AHO,VM_001,18
5,1378605300,WA-AHO,VM_003,18
5,1378605300,WA-AHO,VM_011,18
5,1378605300,WA-AHO,VM_012,18
5,1378605300,WA-AHO,VM_013,18
5,1378605300,PABFD,VM_012,10
5,1378605300,PABFD,VM_011,11
5,1378605300,PABFD,VM_003,12
5,1378605300,PABFD,VM_001,11
5,1378605300,PABFD,VM_013,12
6,1378605600,Standard_HO,VM_001,18
6,1378605600,Standard_HO,VM_003,18
6,1378605600,Standard_HO,VM_011,18
6,1378605600,Standard_HO,VM_012,18
6,1378605600,Standard_HO,VM_013,18
6,1378605600,WA-AHO,VM_001,18
6,1378605600,WA-AHO,VM_003,18
6,1378605600,WA-AHO,VM_011,18
6,1378605600,WA-AHO,VM_012,18
6,1378605600,WA-AHO,VM_013,18
6,1378605600,PABFD,VM_012,10
6,1378605600,PABFD,VM_011,11
6,1378605600,PABFD,VM_003,12
6,1378605600,PABFD,VM_001,11
6,1378605600,PABFD,VM_013,12
7,1378605900,Standard_HO,VM_001,18
7,1378605900,Standard_HO,VM_003,18
7,1378605900,Standard_HO,VM_011,18
7,1378605900,Standard_HO,VM_012,18
7,1378605900,Standard_HO,VM_013,18
7,1378605900,WA-AHO,VM_001,18
7,1378605900,WA-AHO,VM_003,18
7,1378605900,WA-AHO,VM_011,18
7,1378605900,WA-AHO,VM_012,18
7,1378605900,WA-AHO,VM_013,18
7,1378605900,PABFD,VM_012,10
