epoch,timestamp,method,energy_wh,sla_violations,active_pms,placement_changes,risk,mean_predicted_cpu_utilization,exploration_probability,adaptive_mode,best_iteration
1,1378604100,PABFD,1424.9187,0,3,0,0.4564,1.3509,,,
2,1378604400,PABFD,1424.9398,0,3,0,0.4561,1.3290,,,
3,1378604700,PABFD,1424.9187,0,3,0,0.4585,1.2869,,,
4,1378605000,PABFD,1424.9628,0,3,0,0.4633,1.2814,,,
5,1378605300,PABFD,1424.9071,0,3,0,0.4574,1.2928,,,
6,1378605600,PABFD,1424.8841,0,3,0,0.4589,1.3078,,,
7,1378605900,PABFD,1424.8783,0,3,0,0.4608,1.3283,,,
8,1378606200,PABFD,1424.9398,0,3,0,0.4658,1.3451,,,
9,1378606500,PABFD,1424.8860,0,3,0,0.4766,1.3417,,,
10,1378606800,PABFD,1424.9187,0,3,0,0.4748,1.3253,,,
1,1378604100,Standard_HO,1424.8001,0,1,0,0.4564,1.3509,,,0
2,1378604400,Standard_HO,1424.8164,0,1,0,0.4561,1.3290,,,0
3,1378604700,Standard_HO,1424.8001,0,1,0,0.4585,1.2869,,,0
4,1378605000,Standard_HO,1424.8341,0,1,0,0.4633,1.2814,,,0
5,1378605300,Standard_HO,1424.7912,0,1,0,0.4574,1.2928,,,0
6,1378605600,Standard_HO,1424.7734,0,1,0,0.4589,1.3078,,,0
7,1378605900,Standard_HO,1424.7689,0,1,0,0.4608,1.3283,,,0
8,1378606200,Standard_HO,1424.8164,0,1,0,0.4658,1.3451,,,0
9,1378606500,Standard_HO,1424.7749,0,1,0,0.4766,1.3417,,,0
10,1378606800,Standard_HO,1424.8001,0,1,0,0.4748,1.3253,,,0
1,1378604100,WA-AHO,1424.8001,0,1,0,0.4564,1.3509,0.4738,EXPLORATION,0
2,1378604400,WA-AHO,1424.8164,0,1,0,0.4561,1.3290,0.4737,EXPLORATION,0
3,1378604700,WA-AHO,1424.8001,0,1,0,0.4585,1.2869,0.4751,EXPLORATION,0
4,1378605000,WA-AHO,1424.8341,0,1,0,0.4633,1.2814,0.4780,EXPLORATION,0
5,1378605300,WA-AHO,1424.7912,0,1,0,0.4574,1.2928,0.4745,EXPLORATION,0
6,1378605600,WA-AHO,1424.7734,0,1,0,0.4589,1.3078,0.4753,EXPLORATION,0
7,1378605900,WA-AHO,1424.7689,0,1,0,0.4608,1.3283,0.4765,EXPLORATION,0
8,1378606200,WA-AHO,1424.8164,0,1,0,0.4658,1.3451,0.4795,EXPLORATION,0
9,1378606500,WA-AHO,1424.7749,0,1,0,0.4766,1.3417,0.4860,EXPLORATION,0
10,1378606800,WA-AHO,1424.8001,0,1,0,0.4748,1.3253,0.4849,EXPLORATION,0
