epoch,timestamp,algorithm,vm_count,active_pm,energy_wh,sla_violations,sla_rate,avg_cpu,peak_cpu,migrations
1,1378604100,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,0
2,1378604400,Standard_HO,5,1,1424.8164,0,0.0000,0.0025,0.0025,5
3,1378604700,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
4,1378605000,Standard_HO,5,1,1424.8341,0,0.0000,0.0027,0.0027,5
5,1378605300,Standard_HO,5,1,1424.7912,0,0.0000,0.0024,0.0024,0
6,1378605600,Standard_HO,5,1,1424.7734,0,0.0000,0.0023,0.0023,0
7,1378605900,Standard_HO,5,1,1424.7689,0,0.0000,0.0023,0.0023,0
8,1378606200,Standard_HO,5,1,1424.8164,0,0.0000,0.0025,0.0025,5
9,1378606500,Standard_HO,5,1,1424.7749,0,0.0000,0.0023,0.0023,0
10,1378606800,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,0
11,1378607100,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
12,1378607400,Standard_HO,5,1,1425.5720,0,0.0000,0.0072,0.0072,5
13,1378607700,Standard_HO,5,1,1424.7882,0,0.0000,0.0024,0.0024,5
14,1378608000,Standard_HO,5,1,1424.8178,0,0.0000,0.0026,0.0026,5
15,1378608300,Standard_HO,5,1,1424.7867,0,0.0000,0.0024,0.0024,5
16,1378608600,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
17,1378608900,Standard_HO,5,1,1424.8060,0,0.0000,0.0025,0.0025,5
18,1378609200,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,0
19,1378609500,Standard_HO,5,1,1424.8015,0,0.0000,0.0025,0.0025,5
20,1378609800,Standard_HO,5,1,1424.8193,0,0.0000,0.0026,0.0026,5
21,1378610100,Standard_HO,5,1,1424.8045,0,0.0000,0.0025,0.0025,0
22,1378610400,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
23,1378610700,Standard_HO,5,1,1424.8119,0,0.0000,0.0025,0.0025,5
24,1378611000,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
25,1378611300,Standard_HO,5,1,1424.8045,0,0.0000,0.0025,0.0025,0
26,1378611600,Standard_HO,5,1,1424.8164,0,0.0000,0.0025,0.0025,0
27,1378611900,Standard_HO,5,1,1424.8015,0,0.0000,0.0025,0.0025,5
28,1378612200,Standard_HO,5,1,1424.8015,0,0.0000,0.0025,0.0025,0
29,1378612500,Standard_HO,5,1,1424.8134,0,0.0000,0.0025,0.0025,5
30,1378612800,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
31,1378613100,Standard_HO,5,1,1424.8001,0,0.0000,0.0024,0.0024,5
32,1378613400,Standard_HO,5,1,1424.8149,0,0.0000,0.0025,0.0025,0
33,1378613700,Standard_HO,7,2,1425.3105,0,0.0000,0.0035,0.0044,5
34,1378614000,Standard_HO,7,2,1425.3847,0,0.0000,0.0048,0.0062,7
35,1378614300,Standard_HO,7,2,1425.3826,0,0.0000,0.0038,0.0048,7
36,1378614600,Standard_HO,7,2,1425.4481,0,0.0000,0.0040,0.0052,7
37,1378614900,Standard_HO,7,2,1425.5611,0,0.0000,0.0044,0.0059,7
38,1378615200,Standard_HO,7,2,1425.3470,0,0.0000,0.0037,0.0046,7
39,1378615500,Standard_HO,7,2,1425.6315,0,0.0000,0.0046,0.0063,2
40,1378615800,Standard_HO,7,2,1425.3359,0,0.0000,0.0037,0.0045,2
41,1378616100,Standard_HO,7,2,1425.3722,0,0.0000,0.0038,0.0047,2
42,1378616400,Standard_HO,7,2,1425.5189,0,0.0000,0.0042,0.0056,7
43,1378616700,Standard_HO,7,2,1425.3841,0,0.0000,0.0038,0.0048,2
44,1378617000,Standard_HO,7,2,1425.3478,0,0.0000,0.0037,0.0046,7
45,1378617300,Standard_HO,7,2,1425.3648,0,0.0000,0.0038,0.0047,2
46,1378617600,Standard_HO,7,2,1426.0099,0,0.0000,0.0065,0.0075,6
47,1378617900,Standard_HO,7,2,1425.3712,0,0.0000,0.0039,0.0045,2
48,1378618200,Standard_HO,7,2,1425.3389,0,0.0000,0.0037,0.0045,7
49,1378618500,Standard_HO,7,2,1425.3789,0,0.0000,0.0038,0.0048,2
50,1378618800,Standard_HO,7,2,1425.3663,0,0.0000,0.0038,0.0047,7
51,1378619100,Standard_HO,7,2,1425.5100,0,0.0000,0.0042,0.0056,7
52,1378619400,Standard_HO,7,2,1425.3287,0,0.0000,0.0036,0.0045,2
