epoch,timestamp,algorithm,vm_count,active_pm,energy_wh,sla_violations,sla_rate,avg_cpu,peak_cpu,migrations
1,1378604100,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
2,1378604400,PABFD_Real,5,3,1424.9398,0,0.0000,0.0025,0.0032,0
3,1378604700,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
4,1378605000,PABFD_Real,5,3,1424.9628,0,0.0000,0.0027,0.0035,0
5,1378605300,PABFD_Real,5,3,1424.9071,0,0.0000,0.0024,0.0031,0
6,1378605600,PABFD_Real,5,3,1424.8841,0,0.0000,0.0023,0.0029,0
7,1378605900,PABFD_Real,5,3,1424.8783,0,0.0000,0.0023,0.0029,0
8,1378606200,PABFD_Real,5,3,1424.9398,0,0.0000,0.0025,0.0031,0
9,1378606500,PABFD_Real,5,3,1424.8860,0,0.0000,0.0023,0.0028,0
10,1378606800,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
11,1378607100,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0031,0
12,1378607400,PABFD_Real,5,3,1425.9195,0,0.0000,0.0072,0.0160,0
13,1378607700,PABFD_Real,5,3,1424.9033,0,0.0000,0.0024,0.0029,0
14,1378608000,PABFD_Real,5,3,1424.9417,0,0.0000,0.0026,0.0032,0
15,1378608300,PABFD_Real,5,3,1424.9014,0,0.0000,0.0024,0.0029,0
16,1378608600,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
17,1378608900,PABFD_Real,5,3,1424.9264,0,0.0000,0.0025,0.0030,0
18,1378609200,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
19,1378609500,PABFD_Real,5,3,1424.9206,0,0.0000,0.0025,0.0029,0
20,1378609800,PABFD_Real,5,3,1424.9436,0,0.0000,0.0026,0.0032,0
21,1378610100,PABFD_Real,5,3,1424.9244,0,0.0000,0.0025,0.0029,0
22,1378610400,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
23,1378610700,PABFD_Real,5,3,1424.9340,0,0.0000,0.0025,0.0031,0
24,1378611000,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
25,1378611300,PABFD_Real,5,3,1424.9244,0,0.0000,0.0025,0.0029,0
26,1378611600,PABFD_Real,5,3,1424.9398,0,0.0000,0.0025,0.0032,0
27,1378611900,PABFD_Real,5,3,1424.9206,0,0.0000,0.0025,0.0029,0
28,1378612200,PABFD_Real,5,3,1424.9206,0,0.0000,0.0025,0.0029,0
29,1378612500,PABFD_Real,5,3,1424.9360,0,0.0000,0.0025,0.0031,0
30,1378612800,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
31,1378613100,PABFD_Real,5,3,1424.9187,0,0.0000,0.0024,0.0029,0
32,1378613400,PABFD_Real,5,3,1424.9379,0,0.0000,0.0025,0.0031,0
33,1378613700,PABFD_Real,7,4,1425.5257,0,0.0000,0.0040,0.0064,1
34,1378614000,PABFD_Real,7,4,1425.5468,0,0.0000,0.0041,0.0062,0
35,1378614300,PABFD_Real,7,4,1425.6141,0,0.0000,0.0043,0.0074,0
36,1378614600,PABFD_Real,7,4,1425.7024,0,0.0000,0.0046,0.0086,0
37,1378614900,PABFD_Real,7,4,1425.8455,0,0.0000,0.0051,0.0080,0
38,1378615200,PABFD_Real,7,4,1425.5680,0,0.0000,0.0041,0.0066,0
39,1378615500,PABFD_Real,7,4,1425.9368,0,0.0000,0.0054,0.0095,0
40,1378615800,PABFD_Real,7,4,1425.5536,0,0.0000,0.0041,0.0063,0
41,1378616100,PABFD_Real,7,4,1425.6006,0,0.0000,0.0042,0.0065,0
42,1378616400,PABFD_Real,7,4,1425.7908,0,0.0000,0.0049,0.0089,0
43,1378616700,PABFD_Real,7,4,1425.6160,0,0.0000,0.0043,0.0072,0
44,1378617000,PABFD_Real,7,4,1425.5689,0,0.0000,0.0041,0.0065,0
45,1378617300,PABFD_Real,7,4,1425.5910,0,0.0000,0.0042,0.0071,0
46,1378617600,PABFD_Real,7,4,1426.3719,0,0.0000,0.0070,0.0120,0
47,1378617900,PABFD_Real,7,4,1425.5891,0,0.0000,0.0042,0.0065,0
48,1378618200,PABFD_Real,7,4,1425.5574,0,0.0000,0.0041,0.0063,0
49,1378618500,PABFD_Real,7,4,1425.6093,0,0.0000,0.0043,0.0072,0
50,1378618800,PABFD_Real,7,4,1425.5929,0,0.0000,0.0042,0.0068,0
51,1378619100,PABFD_Real,7,4,1425.7793,0,0.0000,0.0049,0.0078,0
52,1378619400,PABFD_Real,7,4,1425.5459,0,0.0000,0.0041,0.0063,0
53,1378619700,PABFD_Real,7,4,1425.5545,0,0.0000,0.0041,0.0065,0
54,1378620000,PABFD_Real,7,4,1425.5468,0,0.0000,0.0041,0.0063,0
55,1378620300,PABFD_Real,7,4,1425.5545,0,0.0000,0.0041,0.0064,0
