epoch,timestamp,algorithm,vm_count,active_pm,energy_wh,sla_violations,sla_rate,avg_cpu,peak_cpu,migrations
1,1378604100,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
2,1378604400,PABFD_Real,5,3,1424.8534,0,0.0000,0.0021,0.0032,0
3,1378604700,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
4,1378605000,PABFD_Real,5,3,1424.8764,0,0.0000,0.0022,0.0035,0
5,1378605300,PABFD_Real,5,3,1424.8495,0,0.0000,0.0021,0.0031,0
6,1378605600,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
7,1378605900,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
8,1378606200,PABFD_Real,5,3,1424.8476,0,0.0000,0.0021,0.0031,0
9,1378606500,PABFD_Real,5,3,1424.8284,0,0.0000,0.0020,0.0028,0
10,1378606800,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
11,1378607100,PABFD_Real,5,3,1424.8495,0,0.0000,0.0021,0.0031,0
12,1378607400,PABFD_Real,5,3,1424.8303,0,0.0000,0.0020,0.0028,0
13,1378607700,PABFD_Real,5,3,1424.8341,0,0.0000,0.0020,0.0029,0
14,1378608000,PABFD_Real,5,3,1424.8553,0,0.0000,0.0021,0.0032,0
15,1378608300,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
16,1378608600,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
17,1378608900,PABFD_Real,5,3,1424.8457,0,0.0000,0.0021,0.0030,0
18,1378609200,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
19,1378609500,PABFD_Real,5,3,1424.8341,0,0.0000,0.0020,0.0029,0
20,1378609800,PABFD_Real,5,3,1424.8572,0,0.0000,0.0022,0.0032,0
21,1378610100,PABFD_Real,5,3,1424.8380,0,0.0000,0.0021,0.0029,0
22,1378610400,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
23,1378610700,PABFD_Real,5,3,1424.8476,0,0.0000,0.0021,0.0031,0
24,1378611000,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
25,1378611300,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
26,1378611600,PABFD_Real,5,3,1424.8534,0,0.0000,0.0021,0.0032,0
27,1378611900,PABFD_Real,5,3,1424.8341,0,0.0000,0.0020,0.0029,0
28,1378612200,PABFD_Real,5,3,1424.8341,0,0.0000,0.0020,0.0029,0
29,1378612500,PABFD_Real,5,3,1424.8495,0,0.0000,0.0021,0.0031,0
30,1378612800,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
31,1378613100,PABFD_Real,5,3,1424.8322,0,0.0000,0.0020,0.0029,0
32,1378613400,PABFD_Real,5,3,1424.8514,0,0.0000,0.0021,0.0031,0
33,1378613700,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,1
34,1378614000,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
35,1378614300,PABFD_Real,7,4,1425.1223,0,0.0000,0.0026,0.0053,0
36,1378614600,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
37,1378614900,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
38,1378615200,PABFD_Real,7,4,1425.1377,0,0.0000,0.0026,0.0055,0
39,1378615500,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
40,1378615800,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
41,1378616100,PABFD_Real,7,4,1425.1261,0,0.0000,0.0026,0.0054,0
42,1378616400,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
43,1378616700,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
44,1378617000,PABFD_Real,7,4,1425.1338,0,0.0000,0.0026,0.0055,0
45,1378617300,PABFD_Real,7,4,1425.1031,0,0.0000,0.0025,0.0051,0
46,1378617600,PABFD_Real,7,4,1425.0800,0,0.0000,0.0024,0.0047,0
47,1378617900,PABFD_Real,7,4,1425.1261,0,0.0000,0.0026,0.0054,0
48,1378618200,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
49,1378618500,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
50,1378618800,PABFD_Real,7,4,1425.1338,0,0.0000,0.0026,0.0055,0
51,1378619100,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
52,1378619400,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
53,1378619700,PABFD_Real,7,4,1425.1261,0,0.0000,0.0026,0.0054,0
54,1378620000,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
55,1378620300,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
56,1378620600,PABFD_Real,7,4,1425.1377,0,0.0000,0.0026,0.0055,0
57,1378620900,PABFD_Real,7,4,1425.1146,0,0.0000,0.0025,0.0052,0
58,1378621200,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
59,1378621500,PABFD_Real,7,4,1425.1261,0,0.0000,0.0026,0.0054,0
60,1378621800,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
61,1378622100,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
62,1378622400,PABFD_Real,7,4,1425.1338,0,0.0000,0.0026,0.0055,0
63,1378622700,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
64,1378623000,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
65,1378623300,PABFD_Real,7,4,1425.1223,0,0.0000,0.0026,0.0053,0
66,1378623600,PABFD_Real,7,4,1425.0839,0,0.0000,0.0024,0.0048,0
67,1378623900,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
68,1378624200,PABFD_Real,7,4,1425.1338,0,0.0000,0.0026,0.0055,0
69,1378624500,PABFD_Real,7,4,1425.0992,0,0.0000,0.0025,0.0050,0
70,1378624800,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
71,1378625100,PABFD_Real,7,4,1425.1184,0,0.0000,0.0025,0.0053,0
72,1378625400,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
73,1378625700,PABFD_Real,7,4,1425.0954,0,0.0000,0.0025,0.0049,0
74,1378626000,PABFD_Real,7,4,1425.1377,0,0.0000,0.0026,0.0055,0
75,1378626300,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
76,1378626600,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
77,1378626900,PABFD_Real,7,4,1425.1261,0,0.0000,0.0026,0.0054,0
78,1378627200,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
79,1378627500,PABFD_Real,7,4,1425.0916,0,0.0000,0.0024,0.0049,0
