epoch,timestamp,algorithm,vm_count,active_pm,energy_wh,sla_violations,sla_rate,avg_cpu,peak_cpu,migrations
1,1378604100,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
2,1378604400,Standard_HO,5,1,1424.7497,0,0.0000,0.0021,0.0021,5
3,1378604700,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
4,1378605000,Standard_HO,5,1,1424.7675,0,0.0000,0.0022,0.0022,5
5,1378605300,Standard_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,0
6,1378605600,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
7,1378605900,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
8,1378606200,Standard_HO,5,1,1424.7452,0,0.0000,0.0021,0.0021,5
9,1378606500,Standard_HO,5,1,1424.7304,0,0.0000,0.0020,0.0020,0
10,1378606800,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
11,1378607100,Standard_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,5
12,1378607400,Standard_HO,5,1,1424.7319,0,0.0000,0.0020,0.0020,5
13,1378607700,Standard_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,5
14,1378608000,Standard_HO,5,1,1424.7512,0,0.0000,0.0021,0.0021,5
15,1378608300,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
16,1378608600,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
17,1378608900,Standard_HO,5,1,1424.7438,0,0.0000,0.0021,0.0021,5
18,1378609200,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
19,1378609500,Standard_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,5
20,1378609800,Standard_HO,5,1,1424.7527,0,0.0000,0.0022,0.0022,5
21,1378610100,Standard_HO,5,1,1424.7378,0,0.0000,0.0021,0.0021,0
22,1378610400,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
23,1378610700,Standard_HO,5,1,1424.7452,0,0.0000,0.0021,0.0021,5
24,1378611000,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
25,1378611300,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
26,1378611600,Standard_HO,5,1,1424.7497,0,0.0000,0.0021,0.0021,0
27,1378611900,Standard_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,5
28,1378612200,Standard_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,0
29,1378612500,Standard_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,5
30,1378612800,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
31,1378613100,Standard_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
32,1378613400,Standard_HO,5,1,1424.7482,0,0.0000,0.0021,0.0021,0
33,1378613700,Standard_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,5
34,1378614000,Standard_HO,7,2,1425.0125,0,0.0000,0.0033,0.0049,7
35,1378614300,Standard_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,7
36,1378614600,Standard_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
37,1378614900,Standard_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
38,1378615200,Standard_HO,7,2,1424.9953,0,0.0000,0.0023,0.0029,7
39,1378615500,Standard_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
