epoch,vm_id,pes,mips,ram_mb,storage_mb
1,VM_001,1,500,512,40960
1,VM_003,2,1000,1024,61440
1,VM_011,3,1500,2048,81920
1,VM_012,4,2000,3072,102400
1,VM_013,1,500,512,40960
2,VM_001,1,500,512,40960
2,VM_003,2,1000,1024,61440
2,VM_011,3,1500,2048,81920
2,VM_012,4,2000,3072,102400
2,VM_013,1,500,512,40960
3,VM_001,1,500,512,40960
3,VM_003,2,1000,1024,61440
3,VM_011,3,1500,2048,81920
3,VM_012,4,2000,3072,102400
3,VM_013,1,500,512,40960
4,VM_001,1,500,512,40960
4,VM_003,2,1000,1024,61440
4,VM_011,3,1500,2048,81920
4,VM_012,4,2000,3072,102400
4,VM_013,1,500,512,40960
5,VM_001,1,500,512,40960
5,VM_003,2,1000,1024,61440
5,VM_011,3,1500,2048,81920
5,VM_012,4,2000,3072,102400
5,VM_013,1,500,512,40960
6,VM_001,1,500,512,40960
6,VM_003,2,1000,1024,61440
6,VM_011,3,1500,2048,81920
6,VM_012,4,2000,3072,102400
6,VM_013,1,500,512,40960
7,VM_001,1,500,512,40960
7,VM_003,2,1000,1024,61440
7,VM_011,3,1500,2048,81920
7,VM_012,4,2000,3072,102400
7,VM_013,1,500,512,40960
8,VM_001,1,500,512,40960
8,VM_003,2,1000,1024,61440
8,VM_011,3,1500,2048,81920
8,VM_012,4,2000,3072,102400
8,VM_013,1,500,512,40960
9,VM_001,1,500,512,40960
9,VM_003,2,1000,1024,61440
9,VM_011,3,1500,2048,81920
9,VM_012,4,2000,3072,102400
9,VM_013,1,500,512,40960
10,VM_001,1,500,512,40960
10,VM_003,2,1000,1024,61440
10,VM_011,3,1500,2048,81920
10,VM_012,4,2000,3072,102400
10,VM_013,1,500,512,40960
11,VM_001,1,500,512,40960
11,VM_003,2,1000,1024,61440
11,VM_011,3,1500,2048,81920
11,VM_012,4,2000,3072,102400
11,VM_013,1,500,512,40960
12,VM_001,1,500,512,40960
12,VM_003,2,1000,1024,61440
12,VM_011,3,1500,2048,81920
12,VM_012,4,2000,3072,102400
12,VM_013,1,500,512,40960
13,VM_001,1,500,512,40960
13,VM_003,2,1000,1024,61440
13,VM_011,3,1500,2048,81920
13,VM_012,4,2000,3072,102400
13,VM_013,1,500,512,40960
14,VM_001,1,500,512,40960
14,VM_003,2,1000,1024,61440
14,VM_011,3,1500,2048,81920
14,VM_012,4,2000,3072,102400
14,VM_013,1,500,512,40960
15,VM_001,1,500,512,40960
15,VM_003,2,1000,1024,61440
15,VM_011,3,1500,2048,81920
15,VM_012,4,2000,3072,102400
15,VM_013,1,500,512,40960
16,VM_001,1,500,512,40960
16,VM_003,2,1000,1024,61440
16,VM_011,3,1500,2048,81920
16,VM_012,4,2000,3072,102400
16,VM_013,1,500,512,40960
17,VM_001,1,500,512,40960
17,VM_003,2,1000,1024,61440
17,VM_011,3,1500,2048,81920
17,VM_012,4,2000,3072,102400
17,VM_013,1,500,512,40960
18,VM_001,1,500,512,40960
18,VM_003,2,1000,1024,61440
18,VM_011,3,1500,2048,81920
18,VM_012,4,2000,3072,102400
18,VM_013,1,500,512,40960
19,VM_001,1,500,512,40960
19,VM_003,2,1000,1024,61440
19,VM_011,3,1500,2048,81920
19,VM_012,4,2000,3072,102400
19,VM_013,1,500,512,40960
20,VM_001,1,500,512,40960
20,VM_003,2,1000,1024,61440
20,VM_011,3,1500,2048,81920
20,VM_012,4,2000,3072,102400
20,VM_013,1,500,512,40960
21,VM_001,1,500,512,40960
21,VM_003,2,1000,1024,61440
21,VM_011,3,1500,2048,81920
21,VM_012,4,2000,3072,102400
21,VM_013,1,500,512,40960
22,VM_001,1,500,512,40960
22,VM_003,2,1000,1024,61440
22,VM_011,3,1500,2048,81920
22,VM_012,4,2000,3072,102400
22,VM_013,1,500,512,40960
23,VM_001,1,500,512,40960
23,VM_003,2,1000,1024,61440
23,VM_011,3,1500,2048,81920
23,VM_012,4,2000,3072,102400
23,VM_013,1,500,512,40960
24,VM_001,1,500,512,40960
24,VM_003,2,1000,1024,61440
24,VM_011,3,1500,2048,81920
24,VM_012,4,2000,3072,102400
24,VM_013,1,500,512,40960
25,VM_001,1,500,512,40960
25,VM_003,2,1000,1024,61440
25,VM_011,3,1500,2048,81920
25,VM_012,4,2000,3072,102400
25,VM_013,1,500,512,40960
