epoch,timestamp,vm_count,workload_variation,prediction_risk,adaptive_signal,adaptive_mode,exploration_probability,standard_fitness,adaptive_fitness,standard_time_ms,adaptive_time_ms,standard_feasible,adaptive_feasible,standard_placement,adaptive_placement
1,1378604100,5,0.654308,0.159540,0.456401,EXPLORATION,0.473840,0.0169957458,0.0169957458,42.5522,18.1015,true,true,"[17, 17, 17, 17, 17]","[17, 17, 17, 17, 17]"
2,1378604400,5,0.654351,0.158820,0.456138,EXPLORATION,0.473683,0.0169624021,0.0169624021,21.3956,8.7625,true,true,"[18, 18, 18, 18, 18]","[19, 19, 19, 19, 19]"
3,1378604700,5,0.654462,0.164480,0.458469,EXPLORATION,0.475082,0.0169398610,0.0169398610,14.5277,12.6588,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
4,1378605000,5,0.656241,0.173840,0.463281,EXPLORATION,0.477969,0.0169597801,0.0169597801,12.5417,15.3020,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
5,1378605300,5,0.656250,0.159200,0.457430,EXPLORATION,0.474458,0.0169589469,0.0169589469,7.7580,11.4931,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
6,1378605600,5,0.656605,0.162320,0.458891,EXPLORATION,0.475335,0.0169768431,0.0169768431,11.9325,10.2667,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
7,1378605900,5,0.656887,0.166580,0.460764,EXPLORATION,0.476459,0.0169711415,0.0169711415,10.0200,5.0148,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
8,1378606200,5,0.658620,0.176480,0.465764,EXPLORATION,0.479458,0.0157804994,0.0157804994,6.9842,10.1954,true,true,"[19, 19, 19, 19, 19]","[16, 16, 16, 16, 16]"
9,1378606500,5,0.659369,0.202520,0.476629,EXPLORATION,0.485977,0.0169160702,0.0169160702,7.8648,8.8304,true,true,"[19, 19, 19, 19, 19]","[18, 18, 18, 18, 18]"
10,1378606800,5,0.660900,0.195580,0.474772,EXPLORATION,0.484863,0.0170363864,0.0170363864,8.9696,9.9238,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
11,1378607100,5,0.560706,0.185300,0.410544,EXPLORATION,0.446326,0.0169855932,0.0169855932,8.5190,7.0837,true,true,"[17, 17, 17, 17, 17]","[17, 17, 17, 17, 17]"
