host_id,pes,mips_per_pe,ram_mb,storage_mb,max_power_w,static_power_w
0,2,2660,4096,163840,135.0,93.7
1,2,2660,4096,163840,135.0,93.7
2,2,2660,4096,163840,135.0,93.7
3,2,2660,4096,163840,135.0,93.7
4,2,2660,4096,163840,135.0,93.7
5,2,2660,4096,163840,135.0,93.7
6,2,2660,4096,163840,135.0,93.7
7,2,2660,4096,163840,135.0,93.7
8,2,2660,4096,163840,135.0,93.7
9,2,2660,4096,163840,135.0,93.7
10,4,3067,8192,256000,113.0,42.3
11,4,3067,8192,256000,113.0,42.3
12,4,3067,8192,256000,113.0,42.3
13,4,3067,8192,256000,113.0,42.3
14,4,3067,8192,256000,113.0,42.3
15,4,3067,8192,256000,113.0,42.3
16,12,3067,16384,512000,222.0,58.4
17,12,3067,16384,512000,222.0,58.4
18,12,3067,16384,512000,222.0,58.4
19,12,3067,16384,512000,222.0,58.4
