Algorithm,Epoch,Timestamp,VM_Count,Active_PM,Energy_Wh,SLA_Violations,Avg_CPU,Placement_Changes
PABFD_SYNTHETIC_BASELINE,N/A,N/A,24,11,1457.8390,3,0.0539,0
PABFD_Real_Data_Epoch8,8,1378606200,5,3,1424.9398,0,0.0025,0
Standard_HO_Epoch8,8,1378606200,5,1,1424.8164,0,0.0025,5
Adaptive_HO_Epoch8,8,1378606200,5,1,1424.8164,0,0.0025,5
PABFD_Real_Data_997_Epochs_Mean,ALL,997_Epochs,5.08,1.00,1425.9729,48,0.0056,1
Standard_HO_997_Epochs_Mean,ALL,997_Epochs,5.08,1.00,1425.6872,48,0.0053,5467
Adaptive_HO_997_Epochs_Mean,ALL,997_Epochs,5.08,1.00,1425.6881,48,0.0053,5576
PABFD_Real_Data_997_Epochs_Total,ALL,997_Epochs,5065,997,1421694.9958,48,0.0056,1
Standard_HO_997_Epochs_Total,ALL,997_Epochs,5065,997,1421410.1527,48,0.0053,5467
Adaptive_HO_997_Epochs_Total,ALL,997_Epochs,5065,997,1421411.0196,48,0.0053,5576
