vm_id,decision_timestamp,current_cpu,predicted_cpu_t5m,predicted_cpu_t10m,predicted_cpu_t15m,predicted_cpu_t30m,predicted_cpu_t45m,predicted_cpu_t60m,predicted_mean_cpu,predicted_peak_cpu,predicted_std_cpu,volatility_score,risk_score,risk_state
VM_001,1378604100,0.75,0.6719,0.6007,0.6316,0.6283,0.6648,0.6642,0.6567,0.745,0.0447,0.056,0.0259,LOW
VM_001,1378604400,0.6333,0.656,0.5922,0.6275,0.6302,0.667,0.6626,0.6551,0.7451,0.0456,0.0562,0.0259,LOW
VM_001,1378604700,0.5667,0.6723,0.6078,0.6342,0.6468,0.6869,0.6716,0.6697,0.7623,0.0462,0.0588,0.0266,LOW
VM_001,1378605000,0.6167,0.6472,0.5982,0.6399,0.6449,0.6689,0.6676,0.6621,0.7484,0.0418,0.0573,0.0251,LOW
VM_001,1378605300,0.6333,0.6635,0.5994,0.637,0.6368,0.671,0.6795,0.6629,0.7513,0.0449,0.0562,0.0252,LOW
VM_001,1378605600,0.7,0.6657,0.6007,0.6367,0.645,0.6794,0.6823,0.667,0.7576,0.0465,0.0562,0.0258,LOW
VM_001,1378605900,0.6833,0.6669,0.6007,0.6374,0.6468,0.683,0.6824,0.6693,0.7586,0.0466,0.0552,0.0257,LOW
VM_001,1378606200,0.7167,0.6607,0.6041,0.6436,0.6626,0.689,0.6796,0.6746,0.7618,0.0451,0.0558,0.0258,LOW
VM_001,1378606500,0.5,0.6437,0.5816,0.6247,0.6394,0.6699,0.6723,0.6563,0.7443,0.0466,0.0636,0.0274,LOW
VM_001,1378606800,0.6833,0.6558,0.591,0.6306,0.6473,0.6791,0.6763,0.6635,0.7516,0.0468,0.0597,0.0267,LOW
VM_001,1378607100,0.7167,0.7003,0.6121,0.6329,0.6379,0.6847,0.6876,0.67,0.7598,0.0494,0.0597,0.0274,LOW
VM_001,1378607400,0.6167,0.6755,0.5962,0.6254,0.6339,0.6745,0.6794,0.6605,0.748,0.0482,0.0597,0.0267,LOW
VM_001,1378607700,0.55,0.6676,0.5867,0.6183,0.6263,0.6644,0.6747,0.6527,0.7398,0.048,0.0637,0.0268,LOW
VM_001,1378608000,0.6333,0.6641,0.582,0.6154,0.631,0.6715,0.6752,0.655,0.7471,0.0513,0.061,0.0278,LOW
VM_001,1378608300,0.65,0.655,0.5821,0.6258,0.6454,0.6744,0.6803,0.6614,0.7504,0.0487,0.0604,0.0276,LOW
VM_001,1378608600,0.6167,0.665,0.5911,0.6284,0.6413,0.6728,0.6899,0.6635,0.7505,0.0484,0.0603,0.0266,LOW
VM_001,1378608900,0.7,0.6368,0.5678,0.6193,0.6403,0.6629,0.6713,0.6511,0.7367,0.0478,0.061,0.0278,LOW
VM_001,1378609200,0.6667,0.6575,0.5784,0.6181,0.64,0.6701,0.6795,0.656,0.7433,0.0494,0.0588,0.0271,LOW
VM_001,1378609500,0.7167,0.6967,0.6123,0.6339,0.6455,0.6702,0.6805,0.6657,0.7432,0.043,0.0599,0.0244,LOW
VM_001,1378609800,0.7,0.6883,0.6035,0.6272,0.6418,0.6706,0.6829,0.6626,0.7421,0.0455,0.0604,0.0252,LOW
VM_001,1378610100,0.6333,0.6637,0.5818,0.6136,0.6328,0.659,0.6677,0.6493,0.7306,0.046,0.06,0.0253,LOW
VM_001,1378610400,0.6167,0.6584,0.5723,0.6058,0.6317,0.663,0.6712,0.648,0.7344,0.0501,0.0591,0.0268,LOW
VM_001,1378610700,0.65,0.6711,0.5819,0.6147,0.6357,0.6658,0.6786,0.654,0.7384,0.0489,0.0588,0.026,LOW
VM_001,1378611000,0.6667,0.6462,0.5556,0.5888,0.6179,0.6565,0.6659,0.6346,0.7207,0.0528,0.0585,0.0272,LOW
VM_001,1378611300,0.6,0.6423,0.5564,0.596,0.6198,0.6485,0.6675,0.6349,0.7243,0.0506,0.0553,0.027,LOW
VM_001,1378611600,0.6667,0.6547,0.5722,0.6091,0.6385,0.6616,0.6719,0.6473,0.7295,0.0473,0.0554,0.0257,LOW
VM_001,1378611900,0.5667,0.7015,0.6112,0.6437,0.6601,0.6749,0.7056,0.6722,0.7467,0.0427,0.0554,0.0231,LOW
VM_001,1378612200,0.6,0.6773,0.5693,0.6113,0.6288,0.6683,0.6978,0.6525,0.7489,0.056,0.0559,0.0284,LOW
VM_001,1378612500,0.65,0.6321,0.5413,0.5913,0.6117,0.64,0.6656,0.6272,0.7183,0.0514,0.0559,0.0281,LOW
VM_001,1378612800,0.7167,0.6446,0.5437,0.5891,0.6161,0.653,0.6666,0.6326,0.7243,0.0548,0.0567,0.0286,LOW
