vm_id,pes,mips,ram_mb,storage_mb
0,1,500,512,40960
1,2,1000,1024,61440
2,3,1500,2048,81920
3,4,2000,3072,102400
4,1,500,512,40960
5,2,1000,1024,61440
6,3,1500,2048,81920
7,4,2000,3072,102400
8,1,500,512,40960
9,2,1000,1024,61440
10,3,1500,2048,81920
11,4,2000,3072,102400
12,1,500,512,40960
13,2,1000,1024,61440
14,3,1500,2048,81920
15,4,2000,3072,102400
16,1,500,512,40960
17,2,1000,1024,61440
18,3,1500,2048,81920
19,4,2000,3072,102400
20,1,500,512,40960
21,2,1000,1024,61440
22,3,1500,2048,81920
23,4,2000,3072,102400
